ID,Team.1.Odds,Team.2.Odds,Outcome,Prob.Team.1,Prob.Team.2,prediction,TK1,TK2
2321411,3.0000000000000027,1.3599999999999994,1,0.408,0.592,2,0.01,0.0
2342387,1.440000000000001,2.62,1,0.68,0.32,1,0.0,0.0
2338421,2.749999999999997,1.4000000000000001,2,0.476,0.524,2,0.02,0.0
2327477,2.370000000000001,1.5300000000000002,2,0.374,0.626,2,0.0,0.0
2330813,1.8300000000000003,1.8300000000000003,2,0.442,0.558,2,0.0,0.0
2331735,1.4000000000000001,2.749999999999997,1,0.762,0.238,1,0.02,0.0
2336328,4.0,1.22,2,0.252,0.748,2,0.0,0.0
2319422,1.2000000000000004,4.330000000000002,1,0.67,0.33,1,0.0,0.01
2348006,1.6599999999999995,2.1000000000000005,2,0.482,0.518,2,0.0,0.01
2314761,1.3300000000000005,3.249999999999997,2,0.462,0.538,2,0.0,0.03
2331592,2.62,1.440000000000001,2,0.3,0.7,2,0.0,0.0
2319878,1.6100000000000008,2.1999999999999975,2,0.678,0.322,1,0.02,0.0
2347993,1.3599999999999994,3.0000000000000027,1,0.888,0.112,1,0.06,0.0
2338655,1.4000000000000001,2.749999999999997,1,0.878,0.122,1,0.06,0.0
2347988,2.1000000000000005,1.6599999999999995,2,0.526,0.474,1,0.01,0.0
2321424,1.8300000000000003,1.8300000000000003,2,0.564,0.436,1,0.0,0.0
2313874,1.5699999999999992,2.250000000000002,1,0.396,0.604,2,0.0,0.03
2320953,1.4999999999999993,2.5,2,0.342,0.658,2,0.0,0.04
2328778,1.8300000000000003,1.8300000000000003,2,0.61,0.39,1,0.01,0.0
2319920,1.7200000000000009,2.0,1,0.536,0.464,1,0.0,0.0
2336642,2.749999999999997,1.4000000000000001,2,0.2874,0.7126,2,0.0,0.0
2342252,1.5300000000000002,2.370000000000001,1,0.534,0.466,1,0.0,0.01
2337136,2.0,1.7200000000000009,1,0.548,0.452,1,0.01,0.0
2336314,1.1199999999999999,5.499999999999994,1,0.596,0.404,1,0.0,0.03
2343679,1.5300000000000002,2.370000000000001,1,0.58,0.42,1,0.0,0.0
2313895,3.7499999999999956,1.25,1,0.366,0.634,2,0.01,0.0
2343930,5.0,1.1400000000000003,2,0.118,0.882,2,0.0,0.0
2333330,2.1000000000000005,1.6599999999999995,2,0.454,0.546,2,0.0,0.0
2329216,2.0,1.7200000000000009,2,0.42,0.58,2,0.0,0.0
2331970,1.4999999999999993,2.5,2,0.57,0.43,1,0.0,0.0
2320785,1.9000000000000008,1.7999999999999985,2,0.518,0.482,1,0.0,0.0
2334354,2.1999999999999975,1.6100000000000008,1,0.466,0.534,2,0.0,0.0
2346215,1.5699999999999992,2.250000000000002,1,0.544,0.456,1,0.0,0.0
2319979,2.370000000000001,1.5300000000000002,2,0.462,0.538,2,0.01,0.0
2343698,2.5,1.4999999999999993,1,0.606,0.394,1,0.03,0.0
2314413,5.0,1.1400000000000003,2,0.466,0.534,2,0.03,0.0
2345624,1.440000000000001,2.62,1,0.856,0.144,1,0.05,0.0
2346806,2.62,1.440000000000001,2,0.438,0.562,2,0.01,0.0
2336720,1.28,3.499999999999996,1,0.94,0.06,1,0.07,0.0
2342404,4.500000000000004,1.1600000000000006,2,0.108,0.892,2,0.0,0.02
2316699,2.370000000000001,1.5300000000000002,2,0.36,0.64,2,0.0,0.0
2323136,2.749999999999997,1.4000000000000001,1,0.394,0.606,2,0.0,0.0
2345307,1.22,4.0,1,0.9,0.1,1,0.04,0.0
2347935,1.5699999999999992,2.250000000000002,2,0.46,0.54,2,0.0,0.02
2332754,1.3000000000000005,3.3999999999999946,2,0.514,0.486,1,0.0,0.03
2345617,1.3599999999999994,3.0000000000000027,1,0.922,0.078,1,0.07,0.0
2314417,2.5,1.4999999999999993,1,0.39,0.61,2,0.0,0.0
2326384,1.3300000000000005,3.249999999999997,2,0.798,0.202,1,0.02,0.0
2319899,1.4999999999999993,2.5,2,0.658,0.342,1,0.0,0.0
2329728,1.1400000000000003,5.0,1,0.696,0.304,1,0.0,0.01
2328735,1.9000000000000008,1.7999999999999985,2,0.442,0.558,2,0.0,0.0
2322406,4.500000000000004,1.1600000000000006,1,0.234,0.766,2,0.0,0.0
2339380,1.1400000000000003,5.0,1,0.958,0.042,1,0.07,0.0
2326393,3.3999999999999946,1.3000000000000005,2,0.432,0.568,2,0.02,0.0
2314777,1.2000000000000004,4.330000000000002,1,0.718,0.282,1,0.0,0.01
2337358,2.370000000000001,1.5300000000000002,1,0.34,0.66,2,0.0,0.0
2347999,1.8300000000000003,1.8300000000000003,1,0.414,0.586,2,0.0,0.01
2320787,1.6100000000000008,2.1999999999999975,2,0.498,0.502,2,0.0,0.01
2346580,2.370000000000001,1.5300000000000002,2,0.4594,0.5406,2,0.01,0.0
2315253,2.62,1.440000000000001,2,0.428,0.572,2,0.01,0.0
2343187,2.62,1.440000000000001,2,0.444,0.556,2,0.01,0.0
2334727,1.4000000000000001,2.749999999999997,2,0.712,0.288,1,0.0,0.0
2320994,1.2000000000000004,4.330000000000002,1,0.698,0.302,1,0.0,0.01
2319874,1.5699999999999992,2.250000000000002,1,0.606,0.394,1,0.0,0.0
2319902,3.0000000000000027,1.3599999999999994,1,0.378,0.622,2,0.01,0.0
2326887,1.28,3.499999999999996,2,0.562,0.438,1,0.0,0.02
2340866,1.9000000000000008,1.7999999999999985,2,0.516,0.484,1,0.0,0.0
2346290,1.6599999999999995,2.1000000000000005,1,0.548,0.452,1,0.0,0.0
2340903,1.2000000000000004,4.330000000000002,1,0.938,0.062,1,0.06,0.0
2317012,3.249999999999997,1.3300000000000005,2,0.34,0.66,2,0.0,0.0
2313941,1.5300000000000002,2.370000000000001,1,0.66,0.34,1,0.0,0.0
2315613,2.749999999999997,1.4000000000000001,2,0.352,0.648,2,0.0,0.0
2337130,2.250000000000002,1.5699999999999992,2,0.402,0.598,2,0.0,0.0
2338370,1.5699999999999992,2.250000000000002,2,0.532,0.468,1,0.0,0.0
2330436,1.2000000000000004,4.330000000000002,1,0.7,0.3,1,0.0,0.01
2319944,1.22,4.0,1,0.656,0.344,1,0.0,0.01
2341132,1.4000000000000001,2.749999999999997,1,0.864,0.136,1,0.05,0.0
2313888,1.1600000000000006,4.500000000000004,1,0.494,0.506,2,0.0,0.04
2329650,3.249999999999997,1.3300000000000005,2,0.304,0.696,2,0.0,0.0
2323027,1.6599999999999995,2.1000000000000005,2,0.444,0.556,2,0.0,0.02
2337656,1.4000000000000001,2.749999999999997,1,0.632,0.368,1,0.0,0.0
2347023,1.6599999999999995,2.1000000000000005,2,0.468,0.532,2,0.0,0.01
2340851,1.5300000000000002,2.370000000000001,2,0.508,0.492,1,0.0,0.01
2317652,3.499999999999996,1.28,1,0.434,0.566,2,0.02,0.0
2333390,1.2000000000000004,4.330000000000002,1,0.702,0.298,1,0.0,0.01
2346336,3.7499999999999956,1.25,1,0.434,0.566,2,0.02,0.0
2346937,1.3300000000000005,3.249999999999997,1,0.908,0.092,1,0.06,0.0
2317276,1.3000000000000005,3.3999999999999946,2,0.562,0.438,1,0.0,0.02
2340293,3.249999999999997,1.3300000000000005,2,0.422,0.578,2,0.02,0.0
2314031,1.6100000000000008,2.1999999999999975,1,0.564,0.436,1,0.0,0.0
2343663,1.6599999999999995,2.1000000000000005,1,0.564,0.436,1,0.0,0.0
2324632,1.8300000000000003,1.8300000000000003,1,0.364,0.636,2,0.0,0.02
2314955,1.3000000000000005,3.3999999999999946,1,0.5,0.5,1,0.0,0.03
2337461,1.3599999999999994,3.0000000000000027,1,0.558,0.442,1,0.0,0.02
2316939,2.370000000000001,1.5300000000000002,1,0.472,0.528,2,0.01,0.0
2341136,1.9000000000000008,1.7999999999999985,1,0.548,0.452,1,0.0,0.0
2331584,1.6100000000000008,2.1999999999999975,2,0.518,0.482,1,0.0,0.01
2346587,2.250000000000002,1.5699999999999992,2,0.43,0.57,2,0.0,0.0
2342389,1.8300000000000003,1.8300000000000003,2,0.584,0.416,1,0.01,0.0
2337387,1.1600000000000006,4.500000000000004,1,0.822,0.178,1,0.0,0.0
2327145,2.5,1.4999999999999993,2,0.654,0.346,1,0.04,0.0
2337441,4.500000000000004,1.1600000000000006,2,0.12,0.88,2,0.0,0.01
2345613,1.5300000000000002,2.370000000000001,1,0.738,0.262,1,0.02,0.0
2339384,2.1999999999999975,1.6100000000000008,1,0.624,0.376,1,0.03,0.0
2319980,2.1999999999999975,1.6100000000000008,2,0.354,0.646,2,0.0,0.01
2341967,2.250000000000002,1.5699999999999992,2,0.48,0.52,2,0.01,0.0
2331597,1.25,3.7499999999999956,1,0.858,0.142,1,0.03,0.0
2338065,1.3599999999999994,3.0000000000000027,1,0.886,0.114,1,0.06,0.0
2336442,2.370000000000001,1.5300000000000002,1,0.42,0.58,2,0.0,0.0
2328499,1.4000000000000001,2.749999999999997,1,0.83,0.17,1,0.04,0.0
2326415,1.3300000000000005,3.249999999999997,1,0.438,0.562,2,0.0,0.04
2331903,2.62,1.440000000000001,2,0.372,0.628,2,0.0,0.0
2333429,2.749999999999997,1.4000000000000001,1,0.424,0.576,2,0.01,0.0
2329319,1.7999999999999985,1.9000000000000008,1,0.55,0.45,1,0.0,0.0
2341698,1.7999999999999985,1.9000000000000008,1,0.588,0.412,1,0.01,0.0
2315937,3.3999999999999946,1.3000000000000005,2,0.478,0.522,2,0.03,0.0
2314476,2.370000000000001,1.5300000000000002,2,0.486,0.514,2,0.01,0.0
2337178,4.0,1.22,2,0.248,0.752,2,0.0,0.0
2315704,1.5300000000000002,2.370000000000001,1,0.424,0.576,2,0.0,0.03
2333131,1.4000000000000001,2.749999999999997,2,0.386,0.614,2,0.0,0.04
2331805,1.7200000000000009,2.0,1,0.536,0.464,1,0.0,0.0
2333175,1.3599999999999994,3.0000000000000027,1,0.588,0.412,1,0.0,0.01
2330345,4.330000000000002,1.2000000000000004,2,0.294,0.706,2,0.01,0.0
2346386,1.25,3.7499999999999956,1,0.932,0.068,1,0.07,0.0
2319872,2.250000000000002,1.5699999999999992,1,0.466,0.534,2,0.0,0.0
2319994,3.499999999999996,1.28,1,0.166,0.834,2,0.0,0.02
2340741,1.440000000000001,2.62,1,0.774,0.226,1,0.03,0.0
2341044,1.6599999999999995,2.1000000000000005,2,0.478,0.522,2,0.0,0.01
2323164,1.25,3.7499999999999956,1,0.922,0.078,1,0.06,0.0
2338246,2.0,1.7200000000000009,1,0.532,0.468,1,0.01,0.0
2342191,1.1400000000000003,5.0,1,0.86,0.14,1,0.0,0.0
2339359,2.0,1.7200000000000009,1,0.468,0.532,2,0.0,0.0
2313842,1.5699999999999992,2.250000000000002,1,0.486,0.514,2,0.0,0.01
2332774,1.4999999999999993,2.5,2,0.554,0.446,1,0.0,0.01
2340420,1.5300000000000002,2.370000000000001,1,0.61,0.39,1,0.0,0.0
2324344,1.5699999999999992,2.250000000000002,2,0.384,0.616,2,0.0,0.03
2345735,3.0000000000000027,1.3599999999999994,2,0.306,0.694,2,0.0,0.0
2340403,1.8300000000000003,1.8300000000000003,2,0.456,0.544,2,0.0,0.0
2319995,1.440000000000001,2.62,2,0.638,0.362,1,0.0,0.0
2334592,1.1,6.499999999999994,1,0.944,0.056,1,0.04,0.0
2336954,1.4999999999999993,2.5,1,0.712,0.288,1,0.01,0.0
2345801,1.1400000000000003,5.0,1,0.824,0.176,1,0.0,0.0
2316536,3.7499999999999956,1.25,1,0.284,0.716,2,0.0,0.0
2313972,3.249999999999997,1.3300000000000005,2,0.418,0.582,2,0.02,0.0
2338295,2.0,1.7200000000000009,2,0.4,0.6,2,0.0,0.0
2323131,2.1999999999999975,1.6100000000000008,2,0.452,0.548,2,0.0,0.0
2337128,1.4000000000000001,2.749999999999997,1,0.824,0.176,1,0.04,0.0
2343641,2.0,1.7200000000000009,2,0.38939999999999997,0.6106,2,0.0,0.01
2327121,2.5,1.4999999999999993,2,0.446,0.554,2,0.01,0.0
2348171,3.0000000000000027,1.3599999999999994,2,0.228,0.772,2,0.0,0.01
2324124,1.6599999999999995,2.1000000000000005,1,0.546,0.454,1,0.0,0.0
2316380,1.7200000000000009,2.0,1,0.534,0.466,1,0.0,0.0
2344727,2.1000000000000005,1.6599999999999995,2,0.476,0.524,2,0.0,0.0
2329742,1.5300000000000002,2.370000000000001,1,0.738,0.262,1,0.02,0.0
2327790,1.6100000000000008,2.1999999999999975,1,0.574,0.426,1,0.0,0.0
2319072,2.250000000000002,1.5699999999999992,1,0.412,0.588,2,0.0,0.0
2319849,2.62,1.440000000000001,1,0.18,0.82,2,0.0,0.04
2318622,2.1999999999999975,1.6100000000000008,1,0.552,0.448,1,0.02,0.0
2322416,1.8300000000000003,1.8300000000000003,2,0.686,0.314,1,0.03,0.0
2314054,3.3999999999999946,1.3000000000000005,1,0.286,0.714,2,0.0,0.0
2336444,6.499999999999994,1.1,2,0.212,0.788,2,0.01,0.0
2343607,1.5699999999999992,2.250000000000002,2,0.466,0.534,2,0.0,0.02
2322009,1.3300000000000005,3.249999999999997,1,0.828,0.172,1,0.03,0.0
2325915,1.7200000000000009,2.0,1,0.492,0.508,2,0.0,0.0
2318550,1.9000000000000008,1.7999999999999985,2,0.608,0.392,1,0.02,0.0
2332194,2.62,1.440000000000001,2,0.402,0.598,2,0.0,0.0
2336686,2.1000000000000005,1.6599999999999995,2,0.4,0.6,2,0.0,0.0
2339364,1.5300000000000002,2.370000000000001,1,0.362,0.638,2,0.0,0.04
2346954,1.5300000000000002,2.370000000000001,1,0.718,0.282,1,0.02,0.0
2343687,1.3300000000000005,3.249999999999997,1,0.774,0.226,1,0.01,0.0
2335619,2.250000000000002,1.5699999999999992,1,0.378,0.622,2,0.0,0.0
2314371,1.6100000000000008,2.1999999999999975,1,0.506,0.494,1,0.0,0.01
2338658,2.62,1.440000000000001,2,0.262,0.738,2,0.0,0.01
2316580,4.0,1.22,2,0.26,0.74,2,0.0,0.0
2341718,2.62,1.440000000000001,2,0.268,0.732,2,0.0,0.01
2317272,2.1999999999999975,1.6100000000000008,1,0.522,0.478,1,0.01,0.0
2331065,1.5699999999999992,2.250000000000002,1,0.604,0.396,1,0.0,0.0
2335528,1.3300000000000005,3.249999999999997,1,0.492,0.508,2,0.0,0.03
2346328,1.1,6.499999999999994,2,0.404,0.596,2,0.0,0.05
2320989,2.0,1.7200000000000009,1,0.534,0.466,1,0.01,0.0
2345604,2.0,1.7200000000000009,2,0.536,0.464,1,0.01,0.0
2327361,1.5300000000000002,2.370000000000001,1,0.53,0.47,1,0.0,0.01
2336704,1.2000000000000004,4.330000000000002,1,0.946,0.054,1,0.07,0.0
2328239,2.62,1.440000000000001,2,0.43,0.57,2,0.01,0.0
2317295,1.3000000000000005,3.3999999999999946,2,0.59,0.41,1,0.0,0.02
2314007,1.4999999999999993,2.5,1,0.638,0.362,1,0.0,0.0
2314502,2.1000000000000005,1.6599999999999995,1,0.374,0.626,2,0.0,0.01
2315755,2.62,1.440000000000001,2,0.358,0.642,2,0.0,0.0
2340649,1.22,4.0,1,0.952,0.048,1,0.07,0.0
2331080,3.499999999999996,1.28,2,0.248,0.752,2,0.0,0.0
2321418,2.0,1.7200000000000009,1,0.418,0.582,2,0.0,0.0
2313891,2.0,1.7200000000000009,1,0.392,0.608,2,0.0,0.01
2344192,1.28,3.499999999999996,1,0.7,0.3,1,0.0,0.0
2329218,1.3599999999999994,3.0000000000000027,1,0.71,0.29,1,0.0,0.0
2342190,1.08,6.999999999999992,1,0.662,0.338,1,0.0,0.02
2336329,1.28,3.499999999999996,1,0.782,0.218,1,0.0,0.0
2342125,1.4000000000000001,2.749999999999997,2,0.466,0.534,2,0.0,0.03
2326374,2.1000000000000005,1.6599999999999995,2,0.45,0.55,2,0.0,0.0
2340384,2.250000000000002,1.5699999999999992,2,0.434,0.566,2,0.0,0.0
2317632,1.3599999999999994,3.0000000000000027,1,0.596,0.404,1,0.0,0.01
2322805,3.3999999999999946,1.3000000000000005,1,0.372,0.628,2,0.01,0.0
2326426,2.370000000000001,1.5300000000000002,2,0.3205,0.6795,2,0.0,0.01
2337826,1.6599999999999995,2.1000000000000005,1,0.548,0.452,1,0.0,0.0
2332195,1.1199999999999999,5.499999999999994,1,0.966,0.034,1,0.07,0.0
2342376,1.1600000000000006,4.500000000000004,1,0.926,0.074,1,0.05,0.0
2319509,1.3300000000000005,3.249999999999997,2,0.672,0.328,1,0.0,0.0
2333296,1.7200000000000009,2.0,1,0.468,0.532,2,0.0,0.01
2330344,1.25,3.7499999999999956,1,0.838,0.162,1,0.02,0.0
2313951,2.1000000000000005,1.6599999999999995,2,0.342,0.658,2,0.0,0.01
2319452,1.5699999999999992,2.250000000000002,1,0.74,0.26,1,0.03,0.0
2322550,1.25,3.7499999999999956,1,0.582,0.418,1,0.0,0.02
2319881,3.499999999999996,1.28,1,0.412,0.588,2,0.02,0.0
2339383,1.5300000000000002,2.370000000000001,2,0.56,0.44,1,0.0,0.0
2345620,2.250000000000002,1.5699999999999992,1,0.294,0.706,2,0.0,0.02
2319897,1.6599999999999995,2.1000000000000005,2,0.58,0.42,1,0.0,0.0
2343778,1.440000000000001,2.62,1,0.64,0.36,1,0.0,0.0
2316381,2.0,1.7200000000000009,1,0.444,0.556,2,0.0,0.0
2319956,1.7999999999999985,1.9000000000000008,2,0.628,0.372,1,0.02,0.0
2344826,1.6599999999999995,2.1000000000000005,1,0.626,0.374,1,0.01,0.0
2323141,2.749999999999997,1.4000000000000001,2,0.336,0.664,2,0.0,0.0
2342367,2.0,1.7200000000000009,2,0.464,0.536,2,0.0,0.0
2314778,4.330000000000002,1.2000000000000004,1,0.384,0.616,2,0.02,0.0
2334621,1.440000000000001,2.62,1,0.64,0.36,1,0.0,0.0
2319437,1.3300000000000005,3.249999999999997,2,0.598,0.402,1,0.0,0.01
2340410,3.3999999999999946,1.3000000000000005,1,0.408,0.592,2,0.02,0.0
2330825,2.250000000000002,1.5699999999999992,1,0.394,0.606,2,0.0,0.0
2337102,1.25,3.7499999999999956,2,0.576,0.424,1,0.0,0.02
2332495,1.1,6.499999999999994,1,0.914,0.086,1,0.01,0.0
2327710,1.22,4.0,2,0.736,0.264,1,0.0,0.0
2313929,2.370000000000001,1.5300000000000002,2,0.348,0.652,2,0.0,0.0
2319879,2.370000000000001,1.5300000000000002,2,0.39,0.61,2,0.0,0.0
2329214,1.1,6.499999999999994,1,0.5519459459459459,0.4480540540540541,1,0.0,0.03
2344707,1.5300000000000002,2.370000000000001,1,0.728,0.272,1,0.02,0.0
2317599,1.8300000000000003,1.8300000000000003,1,0.42,0.58,2,0.0,0.01
2316289,1.3599999999999994,3.0000000000000027,1,0.542,0.458,1,0.0,0.02
2318594,2.0,1.7200000000000009,2,0.596,0.404,1,0.02,0.0
2321793,1.3000000000000005,3.3999999999999946,1,0.58,0.42,1,0.0,0.02
2328428,1.3000000000000005,3.3999999999999946,1,0.866,0.134,1,0.04,0.0
2331708,3.7499999999999956,1.25,2,0.194,0.806,2,0.0,0.0
2317453,1.6100000000000008,2.1999999999999975,1,0.474,0.526,2,0.0,0.01
2313856,2.1000000000000005,1.6599999999999995,2,0.438,0.562,2,0.0,0.0
2313942,2.370000000000001,1.5300000000000002,2,0.396,0.604,2,0.0,0.0
2328412,7.500000000000019,1.0700000000000007,2,0.164,0.836,2,0.0,0.0
2340645,2.0,1.7200000000000009,1,0.474,0.526,2,0.0,0.0
2327472,1.1600000000000006,4.500000000000004,1,0.772,0.228,1,0.0,0.0
2334608,2.749999999999997,1.4000000000000001,2,0.218,0.782,2,0.0,0.02
2347936,3.249999999999997,1.3300000000000005,1,0.544,0.456,1,0.03,0.0
2324337,1.4000000000000001,2.749999999999997,1,0.372,0.628,2,0.0,0.04
2321814,1.9000000000000008,1.7999999999999985,1,0.266,0.734,2,0.0,0.04
2322777,2.0,1.7200000000000009,1,0.628,0.372,1,0.03,0.0
2316146,1.4999999999999993,2.5,1,0.498,0.502,2,0.0,0.02
2327843,2.1999999999999975,1.6100000000000008,1,0.406,0.594,2,0.0,0.0
2330346,1.9000000000000008,1.7999999999999985,2,0.33,0.67,2,0.0,0.03
2322815,1.4999999999999993,2.5,1,0.518,0.482,1,0.0,0.01
2338369,1.8300000000000003,1.8300000000000003,1,0.468,0.532,2,0.0,0.0
2316387,2.5,1.4999999999999993,2,0.464,0.536,2,0.01,0.0
2335492,1.7200000000000009,2.0,2,0.622,0.378,1,0.01,0.0
2317642,1.440000000000001,2.62,2,0.502,0.498,1,0.0,0.02
2336322,2.749999999999997,1.4000000000000001,2,0.374,0.626,2,0.0,0.0
2331058,1.6100000000000008,2.1999999999999975,1,0.446,0.554,2,0.0,0.02
2344407,1.5300000000000002,2.370000000000001,2,0.48,0.52,2,0.0,0.02
2316931,3.249999999999997,1.3300000000000005,1,0.474,0.526,2,0.02,0.0
2318180,2.5,1.4999999999999993,2,0.338,0.662,2,0.0,0.0
2339152,2.250000000000002,1.5699999999999992,1,0.436,0.564,2,0.0,0.0
2334336,1.7200000000000009,2.0,1,0.436,0.564,2,0.0,0.01
2314023,3.249999999999997,1.3300000000000005,2,0.442,0.558,2,0.02,0.0
2342189,1.08,6.999999999999992,2,0.582,0.418,1,0.0,0.03
2345228,1.0600000000000003,8.0,2,0.532,0.468,1,0.0,0.04
2344440,1.5699999999999992,2.250000000000002,1,0.856,0.144,1,0.06,0.0
2336859,1.4999999999999993,2.5,2,0.526,0.474,1,0.0,0.01
2345214,2.0,1.7200000000000009,2,0.49,0.51,2,0.0,0.0
2330824,1.3300000000000005,3.249999999999997,1,0.88,0.12,1,0.05,0.0
2317572,2.0,1.7200000000000009,2,0.458,0.542,2,0.0,0.0
2334816,1.1600000000000006,4.500000000000004,1,0.878,0.122,1,0.01,0.0
2338429,1.440000000000001,2.62,1,0.556,0.444,1,0.0,0.01
2327473,1.4999999999999993,2.5,2,0.588,0.412,1,0.0,0.0
2340743,1.7200000000000009,2.0,2,0.426,0.574,2,0.0,0.01
2321300,1.4000000000000001,2.749999999999997,1,0.76,0.24,1,0.02,0.0
2321674,1.3599999999999994,3.0000000000000027,1,0.598,0.402,1,0.0,0.01
2345212,4.0,1.22,2,0.222,0.778,2,0.0,0.0
2331591,1.3000000000000005,3.3999999999999946,1,0.894,0.106,1,0.05,0.0
2319663,1.22,4.0,1,0.804,0.196,1,0.0,0.0
2336443,1.5300000000000002,2.370000000000001,2,0.718,0.282,1,0.02,0.0
2317120,4.500000000000004,1.1600000000000006,2,0.3,0.7,2,0.01,0.0
2316798,1.7999999999999985,1.9000000000000008,2,0.658,0.342,1,0.02,0.0
2336862,2.370000000000001,1.5300000000000002,2,0.47,0.53,2,0.01,0.0
2334884,1.5699999999999992,2.250000000000002,2,0.498,0.502,2,0.0,0.01
2322022,1.4000000000000001,2.749999999999997,1,0.522,0.478,1,0.0,0.02
2346214,1.8300000000000003,1.8300000000000003,1,0.404,0.596,2,0.0,0.01
2316693,1.8300000000000003,1.8300000000000003,1,0.578,0.422,1,0.01,0.0
